Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2021,March,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences,14,0.2
2021,March,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences,147,2.2
2021,March,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,87,1.3
2021,March,F Other offences,F90 Miscellaneous offences,F91 Environmental offences,60,0.9
2021,March,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,"37,650",575.0
2021,March,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,191,2.9
2021,March,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences,28,0.4
2021,March,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences,38,0.6
2020,March,A Crimes against the person,A10 Homicide and related offences,A11 Murder,57,0.9
2020,March,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,35,0.5
2020,March,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder,20,0.3
2020,March,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,100,1.5
2020,March,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"7,854",118.9
2020,March,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"8,047",121.8
2020,March,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,934",44.4
2020,March,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"15,374",232.7
2020,March,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"11,464",173.5
2020,March,A Crimes against the person,A30 Sexual offences,A31 Rape,"4,583",69.4
2020,March,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"6,073",91.9
2020,March,A Crimes against the person,A30 Sexual offences,A33 Incest,371,5.6
2020,March,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,"2,138",32.4
2020,March,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,584,8.8
2020,March,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,174,2.6
2020,March,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,546,8.3
2020,March,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences,1,0.0
2020,March,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"3,580",54.2
2020,March,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,529,8.0
2020,March,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,150,2.3
2020,March,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,82,1.2
2020,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,"1,378",20.9
2020,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,998,15.1
2020,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,"1,874",28.4
